Word Count Results
0 : 3
000436 : 1
001001 : 66
001002 : 66
001003 : 66
001004 : 66
001005 : 66
001006 : 66
001007 : 65
001008 : 65
001009 : 65
001010 : 65
001011 : 63
001012 : 60
001013 : 59
001014 : 58
001015 : 55
001016 : 52
001017 : 50
001018 : 45
001019 : 40
001020 : 39
001021 : 36
001022 : 32
001023 : 27
001024 : 26
001025 : 24
001026 : 20
001027 : 19
001028 : 17
001029 : 15
001030 : 14
001031 : 13
001032 : 10
001033 : 9
001034 : 8
001035 : 8
001036 : 8
001037 : 7
001038 : 7
001039 : 7
001040 : 7
001041 : 7
001042 : 7
001043 : 7
001044 : 7
001045 : 7
001046 : 6
001047 : 5
001048 : 5
001049 : 5
001050 : 5
001051 : 5
001052 : 4
001053 : 4
001054 : 3
001055 : 1
001056 : 1
001057 : 1
001058 : 1
001059 : 1
001060 : 1
001061 : 1
001062 : 1
001063 : 1
001064 : 1
001065 : 1
001066 : 1
001067 : 1
001068 : 1
001069 : 1
001070 : 1
001071 : 1
001072 : 1
001073 : 1
001074 : 1
001075 : 1
001076 : 1
001077 : 1
001078 : 1
001079 : 1
001080 : 1
002001 : 61
002002 : 61
002003 : 61
002004 : 61
002005 : 61
002006 : 61
002007 : 61
002008 : 61
002009 : 61
002010 : 61
002011 : 59
002012 : 59
002013 : 58
002014 : 54
002015 : 54
002016 : 51
002017 : 48
002018 : 44
002019 : 42
002020 : 42
002021 : 39
002022 : 38
002023 : 33
002024 : 26
002025 : 25
002026 : 20
002027 : 17
002028 : 17
002029 : 16
002030 : 13
002031 : 12
002032 : 12
002033 : 10
002034 : 10
002035 : 9
002036 : 9
002037 : 8
002038 : 6
002039 : 6
002040 : 6
002041 : 6
002042 : 6
002043 : 6
002044 : 6
002045 : 6
002046 : 6
002047 : 5
002048 : 4
002049 : 4
002050 : 3
002051 : 3
002052 : 3
002053 : 2
002054 : 2
002055 : 2
002056 : 1
002057 : 1
002058 : 1
002059 : 1
002060 : 1
002061 : 1
002062 : 1
002063 : 1
002064 : 1
002065 : 1
002066 : 1
002067 : 1
002068 : 1
002069 : 1
002070 : 1
003001 : 60
003002 : 60
003003 : 60
003004 : 60
003005 : 60
003006 : 59
003007 : 59
003008 : 59
003009 : 58
003010 : 58
003011 : 56
003012 : 55
003013 : 54
003014 : 52
003015 : 52
003016 : 49
003017 : 48
003018 : 43
003019 : 37
003020 : 34
003021 : 33
003022 : 29
003023 : 25
003024 : 24
003025 : 21
003026 : 19
003027 : 16
003028 : 14
003029 : 13
003030 : 11
003031 : 10
003032 : 8
003033 : 7
003034 : 7
003035 : 7
003036 : 5
003037 : 4
003038 : 4
003039 : 3
003040 : 2
003041 : 2
003042 : 2
003043 : 2
003044 : 2
003045 : 2
003046 : 2
003047 : 2
003048 : 2
003049 : 2
003050 : 2
003051 : 2
003052 : 1
003053 : 1
003054 : 1
003055 : 1
003056 : 1
003057 : 1
003058 : 1
003059 : 1
003060 : 1
003061 : 1
003062 : 1
003063 : 1
003064 : 1
003065 : 1
003066 : 1
004001 : 53
004002 : 53
004003 : 53
004004 : 53
004005 : 53
004006 : 53
004007 : 51
004008 : 51
004009 : 50
004010 : 50
004011 : 50
004012 : 48
004013 : 47
004014 : 45
004015 : 44
004016 : 44
004017 : 40
004018 : 37
004019 : 34
004020 : 32
004021 : 32
004022 : 29
004023 : 24
004024 : 22
004025 : 19
004026 : 17
004027 : 16
004028 : 15
004029 : 15
004030 : 15
004031 : 15
004032 : 12
004033 : 11
004034 : 11
004035 : 10
004036 : 9
004037 : 9
004038 : 7
004039 : 7
004040 : 7
004041 : 7
004042 : 6
004043 : 6
004044 : 5
004045 : 3
004046 : 3
004047 : 3
004048 : 3
004049 : 3
004050 : 1
004051 : 1
004052 : 1
004053 : 1
004054 : 1
005001 : 47
005002 : 47
005003 : 47
005004 : 47
005005 : 47
005006 : 47
005007 : 47
005008 : 47
005009 : 47
005010 : 47
005011 : 47
005012 : 46
005013 : 44
005014 : 43
005015 : 38
005016 : 35
005017 : 34
005018 : 32
005019 : 31
005020 : 29
005021 : 27
005022 : 24
005023 : 23
005024 : 21
005025 : 21
005026 : 19
005027 : 17
005028 : 14
005029 : 13
005030 : 13
005031 : 12
005032 : 8
005033 : 7
005034 : 5
005035 : 5
005036 : 5
005037 : 5
005038 : 5
005039 : 5
005040 : 4
005041 : 4
005042 : 4
005043 : 3
005044 : 2
005045 : 2
005046 : 2
005047 : 2
005048 : 1
006001 : 42
006002 : 42
006003 : 42
006004 : 42
006005 : 42
006006 : 42
006007 : 42
006008 : 42
006009 : 42
006010 : 42
006011 : 41
006012 : 40
006013 : 39
006014 : 37
006015 : 34
006016 : 32
006017 : 31
006018 : 30
006019 : 28
006020 : 27
006021 : 25
006022 : 23
006023 : 21
006024 : 19
006025 : 18
006026 : 17
006027 : 17
006028 : 15
006029 : 14
006030 : 14
006031 : 10
006032 : 10
006033 : 10
006034 : 9
006035 : 8
006036 : 7
006037 : 7
006038 : 7
006039 : 6
006040 : 6
006041 : 5
006042 : 5
006043 : 4
006044 : 4
006045 : 4
006046 : 4
006047 : 4
006048 : 4
006049 : 4
006050 : 3
006051 : 3
006052 : 3
006053 : 3
006054 : 3
006055 : 3
006056 : 3
006057 : 2
006058 : 2
006059 : 2
006060 : 2
006061 : 2
006062 : 2
006063 : 2
006064 : 2
006065 : 2
006066 : 2
006067 : 2
006068 : 2
006069 : 2
006070 : 2
006071 : 2
006072 : 1
006073 : 1
006074 : 1
006075 : 1
006076 : 1
006077 : 1
006078 : 1
006079 : 1
006080 : 1
006081 : 1
007001 : 39
007002 : 39
007003 : 39
007004 : 39
007005 : 39
007006 : 39
007007 : 39
007008 : 39
007009 : 39
007010 : 39
007011 : 38
007012 : 38
007013 : 38
007014 : 37
007015 : 36
007016 : 36
007017 : 34
007018 : 30
007019 : 30
007020 : 30
007021 : 28
007022 : 27
007023 : 26
007024 : 26
007025 : 25
007026 : 21
007027 : 19
007028 : 17
007029 : 14
007030 : 11
007031 : 11
007032 : 11
007033 : 11
007034 : 11
007035 : 10
007036 : 10
007037 : 10
007038 : 9
007039 : 8
007040 : 8
007041 : 6
007042 : 6
007043 : 6
007044 : 6
007045 : 6
007046 : 6
007047 : 6
007048 : 6
007049 : 6
007050 : 6
007051 : 5
007052 : 4
007053 : 4
007054 : 3
007055 : 3
007056 : 3
007057 : 3
007058 : 3
007059 : 3
007060 : 3
007061 : 2
007062 : 2
007063 : 2
007064 : 2
007065 : 2
007066 : 2
007067 : 2
007068 : 2
007069 : 2
007070 : 2
007071 : 2
007072 : 2
007073 : 2
007074 : 1
007075 : 1
007076 : 1
007077 : 1
007078 : 1
007079 : 1
007080 : 1
007081 : 1
007082 : 1
007083 : 1
007084 : 1
007085 : 1
007086 : 1
007087 : 1
007088 : 1
007089 : 1
008001 : 38
008002 : 38
008003 : 38
008004 : 38
008005 : 38
008006 : 38
008007 : 38
008008 : 38
008009 : 38
008010 : 37
008011 : 37
008012 : 37
008013 : 37
008014 : 34
008015 : 31
008016 : 31
008017 : 31
008018 : 29
008019 : 25
008020 : 25
008021 : 24
008022 : 24
008023 : 19
008024 : 18
008025 : 17
008026 : 17
008027 : 16
008028 : 15
008029 : 15
008030 : 14
008031 : 14
008032 : 14
008033 : 13
008034 : 13
008035 : 12
008036 : 10
008037 : 7
008038 : 7
008039 : 6
008040 : 5
008041 : 3
008042 : 3
008043 : 3
008044 : 3
008045 : 3
008046 : 3
008047 : 3
008048 : 3
008049 : 3
008050 : 3
008051 : 3
008052 : 3
008053 : 3
008054 : 3
008055 : 3
