what,kind,bundleId,bundleVersion,description,time
arch,sysinfo,,,"x86",1305488472264
ws,sysinfo,,,"win32",1305488472264
locale,sysinfo,,,"en_US",1305488472264
processors,sysinfo,,,"2",1305488472264
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1305488472264
java.runtime.version,sysinfo,,,"1.6.0_24-b07",1305488472264
java.specification.name,sysinfo,,,"Java Platform API Specification",1305488472264
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1305488472264
java.specification.version,sysinfo,,,"1.6",1305488472264
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1305488472264
java.version,sysinfo,,,"1.6.0_24",1305488472264
java.vm.info,sysinfo,,,"mixed mode, sharing",1305488472264
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1305488472264
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1305488472264
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1305488472264
java.vm.specification.version,sysinfo,,,"1.0",1305488472264
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1305488472264
java.vm.version,sysinfo,,,"19.1-b02",1305488472264
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1305488479233
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1305488479233
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.closeAll",1305488479248
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305488487030
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305488499608
started,bundle,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare",1305488506311
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305488514686
started,bundle,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui",1305488519045
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305488523170
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.properties",1305488523170
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305488548467
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305488548608
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305488551202
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305488553670
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305488559842
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305488561498
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.import",1305488561514
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.import",1305488561514
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305488564202
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305488583014
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.properties",1305488583030
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305488589092
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305488590623
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305488606155
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305488608342
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305488618295
started,bundle,org.eclipse.wst.sse.ui,1.2.3.v201102102045,"org.eclipse.wst.sse.ui",1305488626811
started,bundle,org.eclipse.wst.sse.core,1.1.504.v201102160550,"org.eclipse.wst.sse.core",1305488626842
started,bundle,org.eclipse.wst.common.frameworks.ui,1.2.0.v201004080500,"org.eclipse.wst.common.frameworks.ui",1305488627577
started,bundle,org.eclipse.wst.validation.ui,1.2.204.v201004150700,"org.eclipse.wst.validation.ui",1305488627592
started,bundle,org.eclipse.wst.validation,1.2.201.v201101270100,"org.eclipse.wst.validation",1305488627608
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.102.v201008170019,"org.eclipse.wst.common.project.facet.core",1305488627623
started,bundle,org.eclipse.mylyn.wikitext.ui,1.3.0.v20100608-0100-e3x,"org.eclipse.mylyn.wikitext.ui",1305488628483
started,bundle,org.eclipse.mylyn.wikitext.core,1.3.1.v20100823-0100-e3x,"org.eclipse.mylyn.wikitext.core",1305488628498
started,bundle,org.eclipse.ui.externaltools,3.2.0.v20100427,"org.eclipse.ui.externaltools",1305488632764
started,bundle,org.eclipse.core.externaltools,1.0.1.v20100831_r361,"org.eclipse.core.externaltools",1305488632811
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305488648702
started,bundle,org.eclipse.jdt.debug,3.6.1.v20100715_r361,"org.eclipse.jdt.debug",1305488649920
started,bundle,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui",1305488649983
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305488657967
started,bundle,org.eclipse.mylyn.ide.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ui",1305488663170
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305488663623
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1305488663733
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1305488663795
started,bundle,org.eclipse.core.variables,3.2.400.v20100505,"org.eclipse.core.variables",1305488664295
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305488672764
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305488682373
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1305488682389
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305488686061
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305488729751
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1305488729814
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1305488729876
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1305488736642
started,bundle,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit",1305488737579
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1305488740861
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305488744829
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305488748423
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.properties",1305488748439
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305488759048
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305488759220
executed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.edit.text.java.format",1305488759220
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305488778345
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305488800798
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.properties",1305488800798
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305488805845
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305488810329
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.properties",1305488810329
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305488813095
started,bundle,org.eclipse.jdt.apt.ui,3.3.300.v20100513-0845,"org.eclipse.jdt.apt.ui",1305488841658
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305488898783
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.properties",1305488898798
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1305488919548
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1305488919704
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1305488920861
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305488922189
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305488925142
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305488928267
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305488928392
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305488929486
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305488929626
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305488933892
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305488944033
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.saveAs",1305488944033
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1305488946642
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305488950392
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305488962142
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.saveAs",1305488962142
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.saveAll",1305488971079
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305488983845
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305488990579
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.properties",1305488990579
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305488994001
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305489004236
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.saveAs",1305489004251
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305489005220
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305489009964
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305489017403
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305489037403
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.saveAs",1305489037418
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1305489040450
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305489043340
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305489046246
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.saveAs",1305489046246
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1305489060418
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1305489064090
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1305489064543
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305489067450
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305489073340
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.saveAs",1305489073356
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305489076246
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305489078121
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.saveAs",1305489078121
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305489082231
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305489084215
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.export",1305489084215
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1305489086434
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305489096871
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305489146918
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.properties",1305489146934
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1305489150543
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305489155606
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305489161512
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.saveAs",1305489161512
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1305489162762
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305489170512
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305489173106
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.properties",1305489173106
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305489177481
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305489210566
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305489211863
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305489229994
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.saveAs",1305489229994
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305489237308
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305489239652
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305489246230
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305489267761
closed,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305489267902
stopped,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1305489268058
stopped,bundle,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui",1305489268058
stopped,bundle,org.eclipse.ant.launching,1.0.1.v20101020_r362,"org.eclipse.ant.launching",1305489268073
stopped,bundle,org.eclipse.compare.win32,1.0.101.R36x_v20101103-0618,"org.eclipse.compare.win32",1305489268073
