(Tukey_Ninether, 0, 6, 19, 169, 168, 492, 499)
(Tukey_Ninether, 0, 4, 5, 109, 108, 133, 148)
(Tukey_Ninether, 0, 0, 20, 21, 20, 95, 102)
(Tukey_Ninether, 29, 2, 43, 66, 65, 96, 102)
(median_of_3, 29, 1, 40, 41, 40, 41, 50)
(median_of_3, 73, 3, 88, 89, 88, 89, 102)
(median_of_3, 125, 5, 137, 138, 137, 138, 148)
(Tukey_Ninether, 177, 15, 188, 372, 371, 482, 499)
(Tukey_Ninether, 177, 10, 190, 263, 262, 354, 359)
(Tukey_Ninether, 177, 8, 188, 215, 214, 234, 248)
(median_of_3, 177, 7, 190, 191, 190, 191, 202)
(median_of_3, 230, 9, 239, 240, 239, 240, 248)
(Tukey_Ninether, 269, 12, 282, 310, 309, 352, 359)
(median_of_3, 269, 11, 282, 283, 282, 283, 295)
(Tukey_Ninether, 318, 13, 332, 333, 332, 352, 359)
(median_of_3, 341, 14, 350, 351, 350, 351, 359)
(Tukey_Ninether, 390, 18, 403, 457, 456, 489, 499)
(Tukey_Ninether, 390, 16, 405, 406, 405, 438, 442)
(median_of_3, 411, 17, 427, 428, 427, 428, 442)
(median_of_3, 468, 19, 484, 485, 484, 485, 499)
