(Tukey_Ninether, 0, 8, 10, 124, 123, 295, 299)
(Tukey_Ninether, 0, 3, 5, 48, 47, 112, 112)
(Tukey_Ninether, 0, 1, 7, 27, 26, 35, 41)
(median_of_3, 0, 0, 9, 10, 9, 10, 18)
(Insertion_Sort, 34, 41)
(Tukey_Ninether, 49, 6, 54, 89, 88, 101, 112)
(median_of_3, 49, 4, 59, 60, 59, 79, 82)
(median_of_3, 64, 5, 73, 74, 73, 74, 82)
(median_of_3, 101, 7, 106, 107, 106, 108, 112)
(Tukey_Ninether, 129, 14, 134, 215, 214, 296, 299)
(Tukey_Ninether, 129, 11, 135, 162, 161, 199, 208)
(median_of_3, 129, 10, 133, 145, 144, 145, 154)
(median_of_3, 129, 9, 134, 135, 134, 135, 139)
(median_of_3, 172, 12, 183, 184, 183, 202, 208)
(median_of_3, 191, 13, 198, 200, 199, 201, 208)
(Tukey_Ninether, 219, 16, 228, 248, 247, 296, 299)
(median_of_3, 219, 15, 227, 229, 228, 229, 237)
(Tukey_Ninether, 252, 17, 268, 269, 268, 293, 299)
(median_of_3, 276, 18, 281, 282, 281, 299, 299)
(median_of_3, 283, 19, 290, 292, 291, 292, 299)
